_id,user,specialization,qualifications,experience,hospital,location,state,consultation_fee,about,languages,rating,verification_status,created_at,updated_at,__v
"""6a74b45582e7a429699cd4df""","""6a74b45582e7a429699cd4de""","""6a74b45582e7a429699cd4d4""","MBBS, MD","8","Government Head Quarters Hospital, Ariyalur","Ariyalur","Tamil Nadu","550","Experienced Dermatology specialist practicing at Government Head Quarters Hospital, Ariyalur. Committed to compassionate, quality healthcare in Ariyalur.","Tamil, English","4.6","approved","""2026-08-06T16:20:37.148Z""","""2026-08-06T16:20:37.148Z""","0"
"""6a74b45582e7a429699cd4e7""","""6a74b45582e7a429699cd4e6""","""6a74b45582e7a429699cd4d5""","MBBS, MD","11","Government Head Quarters Hospital, Ariyalur","Ariyalur","Tamil Nadu","600","Experienced Neurology specialist practicing at Government Head Quarters Hospital, Ariyalur. Committed to compassionate, quality healthcare in Ariyalur.","Tamil, English","4.7","approved","""2026-08-06T16:20:37.162Z""","""2026-08-06T16:20:37.162Z""","0"
"""6a74b45582e7a429699cd4ef""","""6a74b45582e7a429699cd4ee""","""6a74b45582e7a429699cd4d6""","MBBS, MD","14","Government Head Quarters Hospital, Ariyalur","Ariyalur","Tamil Nadu","650","Experienced Pediatrics specialist practicing at Government Head Quarters Hospital, Ariyalur. Committed to compassionate, quality healthcare in Ariyalur.","Tamil, English","4.8","approved","""2026-08-06T16:20:37.174Z""","""2026-08-06T16:20:37.174Z""","0"
"""6a74b45582e7a429699cd4f7""","""6a74b45582e7a429699cd4f6""","""6a74b45582e7a429699cd4d7""","MBBS, MD","17","Chengalpattu Medical College & Hospital","Chengalpattu","Tamil Nadu","700","Experienced Orthopedics specialist practicing at Chengalpattu Medical College & Hospital. Committed to compassionate, quality healthcare in Chengalpattu.","Tamil, English","4.9","approved","""2026-08-06T16:20:37.185Z""","""2026-08-06T16:20:37.185Z""","0"
"""6a74b45582e7a429699cd4ff""","""6a74b45582e7a429699cd4fe""","""6a74b45582e7a429699cd4d8""","MBBS, MD","20","Chengalpattu Medical College & Hospital","Chengalpattu","Tamil Nadu","750","Experienced General Medicine specialist practicing at Chengalpattu Medical College & Hospital. Committed to compassionate, quality healthcare in Chengalpattu.","Tamil, English","4.5","approved","""2026-08-06T16:20:37.199Z""","""2026-08-06T16:20:37.199Z""","0"
"""6a74b45582e7a429699cd507""","""6a74b45582e7a429699cd506""","""6a74b45582e7a429699cd4d9""","MBBS, MD","23","Apollo Hospitals, Greams Road, Chennai","Chennai","Tamil Nadu","800","Experienced Psychiatry specialist practicing at Apollo Hospitals, Greams Road, Chennai. Committed to compassionate, quality healthcare in Chennai.","Tamil, English","4.6","approved","""2026-08-06T16:20:37.211Z""","""2026-08-06T16:20:37.211Z""","0"
"""6a74b45582e7a429699cd50f""","""6a74b45582e7a429699cd50e""","""6a74b45582e7a429699cd4da""","MBBS, MD","26","Apollo Hospitals, Greams Road, Chennai","Chennai","Tamil Nadu","850","Experienced Gynecology specialist practicing at Apollo Hospitals, Greams Road, Chennai. Committed to compassionate, quality healthcare in Chennai.","Tamil, English","4.7","approved","""2026-08-06T16:20:37.221Z""","""2026-08-06T16:20:37.221Z""","0"
"""6a74b45582e7a429699cd517""","""6a74b45582e7a429699cd516""","""6a74b45582e7a429699cd4d3""","MBBS, MD","29","Ganga Medical Centre & Hospitals, Coimbatore","Coimbatore","Tamil Nadu","900","Experienced Cardiology specialist practicing at Ganga Medical Centre & Hospitals, Coimbatore. Committed to compassionate, quality healthcare in Coimbatore.","Tamil, English","4.8","approved","""2026-08-06T16:20:37.232Z""","""2026-08-06T16:20:37.232Z""","0"
"""6a74b45582e7a429699cd51f""","""6a74b45582e7a429699cd51e""","""6a74b45582e7a429699cd4d4""","MBBS, MD","7","Ganga Medical Centre & Hospitals, Coimbatore","Coimbatore","Tamil Nadu","950","Experienced Dermatology specialist practicing at Ganga Medical Centre & Hospitals, Coimbatore. Committed to compassionate, quality healthcare in Coimbatore.","Tamil, English","4.9","approved","""2026-08-06T16:20:37.244Z""","""2026-08-06T16:20:37.244Z""","0"
"""6a74b45582e7a429699cd527""","""6a74b45582e7a429699cd526""","""6a74b45582e7a429699cd4d5""","MBBS, MD","10","Ganga Medical Centre & Hospitals, Coimbatore","Coimbatore","Tamil Nadu","1000","Experienced Neurology specialist practicing at Ganga Medical Centre & Hospitals, Coimbatore. Committed to compassionate, quality healthcare in Coimbatore.","Tamil, English","4.5","approved","""2026-08-06T16:20:37.255Z""","""2026-08-06T16:20:37.255Z""","0"
