_id,doctor,day,start_time,end_time,slot_duration_minutes,created_at,updated_at,__v
"""6a71b1e2132807b557ae1ce9""","""6a71b1e2132807b557ae1ce8""","Monday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.099Z""","""2026-08-04T09:33:22.099Z""","0"
"""6a71b1e2132807b557ae1cea""","""6a71b1e2132807b557ae1ce8""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.103Z""","""2026-08-04T09:33:22.103Z""","0"
"""6a71b1e2132807b557ae1ceb""","""6a71b1e2132807b557ae1ce8""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.106Z""","""2026-08-04T09:33:22.106Z""","0"
"""6a71b1e2132807b557ae1cec""","""6a71b1e2132807b557ae1ce8""","Thursday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.109Z""","""2026-08-04T09:33:22.109Z""","0"
"""6a71b1e2132807b557ae1ced""","""6a71b1e2132807b557ae1ce8""","Friday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.112Z""","""2026-08-04T09:33:22.112Z""","0"
"""6a71b1e2132807b557ae1cee""","""6a71b1e2132807b557ae1ce8""","Saturday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.115Z""","""2026-08-04T09:33:22.115Z""","0"
"""6a71b1e2132807b557ae1cf1""","""6a71b1e2132807b557ae1cf0""","Monday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.124Z""","""2026-08-04T09:33:22.124Z""","0"
"""6a71b1e2132807b557ae1cf2""","""6a71b1e2132807b557ae1cf0""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.127Z""","""2026-08-04T09:33:22.127Z""","0"
"""6a71b1e2132807b557ae1cf3""","""6a71b1e2132807b557ae1cf0""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.130Z""","""2026-08-04T09:33:22.130Z""","0"
"""6a71b1e2132807b557ae1cf4""","""6a71b1e2132807b557ae1cf0""","Thursday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.134Z""","""2026-08-04T09:33:22.134Z""","0"
"""6a71b1e2132807b557ae1cf5""","""6a71b1e2132807b557ae1cf0""","Friday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.137Z""","""2026-08-04T09:33:22.137Z""","0"
"""6a71b1e2132807b557ae1cf6""","""6a71b1e2132807b557ae1cf0""","Saturday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.140Z""","""2026-08-04T09:33:22.140Z""","0"
"""6a71b1e2132807b557ae1cf9""","""6a71b1e2132807b557ae1cf8""","Monday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.151Z""","""2026-08-04T09:33:22.151Z""","0"
"""6a71b1e2132807b557ae1cfa""","""6a71b1e2132807b557ae1cf8""","Tuesday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.154Z""","""2026-08-04T09:33:22.154Z""","0"
"""6a71b1e2132807b557ae1cfb""","""6a71b1e2132807b557ae1cf8""","Wednesday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.157Z""","""2026-08-04T09:33:22.157Z""","0"
"""6a71b1e2132807b557ae1cfc""","""6a71b1e2132807b557ae1cf8""","Thursday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.160Z""","""2026-08-04T09:33:22.160Z""","0"
"""6a71b1e2132807b557ae1cfd""","""6a71b1e2132807b557ae1cf8""","Friday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.164Z""","""2026-08-04T09:33:22.164Z""","0"
"""6a71b1e2132807b557ae1cfe""","""6a71b1e2132807b557ae1cf8""","Saturday","09:00 AM","05:00 PM","30","""2026-08-04T09:33:22.167Z""","""2026-08-04T09:33:22.167Z""","0"
